DESC_PROVINCIA;CENTRO_EXAMEN;CODIGO_AUTOESCUELA;NOMBRE_AUTOESCUELA;CODIGO_SECCION;MES;ANYO;TIPO_EXAMEN;NOMBRE_PERMISO;NUM_APTOS;NUM_APTOS_1conv;NUM_APTOS_2conv;NUM_APTOS_3o4conv;NUM_APTOS_5_o_mas_conv;NUM_NO_APTOS
Albacete;Albacete;AB0198;ALARCON;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;5;3;1;1;0;3
Albacete;Albacete;AB0220;ALBA;01;11;2018;PRUEBA TEÓRICA;B  ;0;0;0;0;0;1
Albacete;Albacete;AB0220;ALBA;01;11;2018;PRUEBA DESTREZA;C  ;1;0;0;1;0;0
Albacete;Albacete;AB0220;ALBA;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;C  ;1;0;1;0;0;0
Albacete;Albacete;AB0220;ALBA;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;4;1;0;2;1;6
Albacete;Albacete;AB0220;ALBA;02;11;2018;PRUEBA TEÓRICA;B  ;0;0;0;0;0;1
Albacete;Albacete;AB0220;ALBA;02;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;6;2;2;2;0;10
Albacete;Albacete;AB0063;ALMIRO;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;EB ;1;0;1;0;0;1
Albacete;Albacete;AB0063;ALMIRO;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;11;1;5;4;1;9
Albacete;Albacete;AB0063;ALMIRO;01;11;2018;PRUEBA DESTREZA;D  ;2;1;1;0;0;1
Albacete;Albacete;AB0063;ALMIRO;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;D  ;1;0;0;1;0;1
Albacete;Albacete;AB0063;ALMIRO;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;EC ;2;2;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;C  ;1;0;0;1;0;0
Albacete;Albacete;AB0063;ALMIRO;01;11;2018;PRUEBA DESTREZA;EC ;0;0;0;0;0;4
Albacete;Albacete;AB0063;ALMIRO;05;11;2018;PRUEBA DESTREZA;A1 ;1;1;0;0;0;1
Albacete;Albacete;AB0063;ALMIRO;05;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;1;1;0;0;0;0
Albacete;Albacete;AB0063;ALMIRO;05;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;3;2;1;0;0;2
Albacete;Albacete;AB0203;APTO TRAINING;01;11;2018;PRUEBA TEÓRICA;B  ;1;0;0;0;1;1
Albacete;Albacete;AB0203;APTO TRAINING;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;1;0;1;0;0;1
Albacete;Albacete;AB0203;APTO TRAINING;01;11;2018;PRUEBA DESTREZA;A2 ;1;0;1;0;0;1
Albacete;Albacete;AB0203;APTO TRAINING;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;12;6;2;4;0;9
Albacete;Albacete;AB0205;ATZ DRIVING;01;11;2018;PRUEBA TEÓRICA;B  ;6;5;1;0;0;2
Albacete;Albacete;AB0205;ATZ DRIVING;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;6;1;1;4;0;10
Albacete;Albacete;AB0230;AUTOESCUELA CARNEBOK COM;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;3;0;0;2;1;3
Albacete;Albacete;AB0230;AUTOESCUELA CARNEBOK COM;01;11;2018;PRUEBA TEÓRICA;B  ;1;0;0;1;0;1
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;11;2018;PRUEBA DESTREZA;A2 ;0;0;0;0;0;1
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;5;3;1;0;1;5
Albacete;Albacete;AB0200;AUTOESCUELA KM;01;11;2018;PRUEBA TEÓRICA;B  ;1;1;0;0;0;0
Albacete;Albacete;AB0200;AUTOESCUELA KM;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;1;1;0;0;0;0
Albacete;Albacete;AB0202;AUTOESCUELA LOS LLANOS;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;5;0;4;1;0;11
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;11;2018;PRUEBA DESTREZA;AM ;1;0;0;1;0;0
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;5;1;3;1;0;5
Albacete;Albacete;AB0221;AUTOESCUELAS PELIGRO;01;11;2018;PRUEBA DESTREZA;A1 ;0;0;0;0;0;1
Albacete;Albacete;AB0221;AUTOESCUELAS PELIGRO;01;11;2018;PRUEBA DESTREZA;A2 ;0;0;0;0;0;1
Albacete;Albacete;AB0140;AVENIDA JESUS Y FRANCISCO SL;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;3;2;1;0;0;1
Albacete;Albacete;AB0214;BIANCO;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;4;0;2;2;0;9
Albacete;Albacete;AB0233;CARRETAS;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;2;1;0;1;0;3
Albacete;Albacete;AB0080;CIMA;01;11;2018;PRUEBA TEÓRICA;B  ;1;0;1;0;0;0
Albacete;Albacete;AB0080;CIMA;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;2;0;1;0;1;1
Albacete;Albacete;AB0080;CIMA;01;11;2018;PRUEBA TEÓRICA;A1 ;0;0;0;0;0;1
Albacete;Albacete;AB0080;CIMA;03;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;1;0;0;0;1;0
Albacete;Albacete;AB0199;CORTES;01;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;2;1;0;1;0;2
Albacete;Albacete;CU0015;CRISCE;03;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;EC ;2;2;0;0;0;0
Albacete;Albacete;CU0015;CRISCE;03;11;2018;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;3;3;0;0;0;0
Albacete;Albacete;CU0015;CRISCE;03;11;2018;PRUEBA DESTREZA;A2 ;1;0;0;1;0;0
